X500, h500, X1000, h1000, X1500, h1500, X2000, h2000, X3500, h3500, X4500, h4500, X7500, h7500, X10000, h10000, X61n1500, h61n1500, X61n2500, h61n2500
-0,30654, -11,31677, -7,64234E-4, -0,61925, -0,25, 1,03633, 0,01337, 1,40435, -0,11973, -5,76398, 0,18189, 2,81304, -0,05541, -2,43478, 0, 5,84333, 0, -5,31133, 0, -4,88133
-0,23671, -11,63975, 0,13107, -0,61925, -0,15, 0,6405, 0,12648, 1,72733, 0,05222, -5,57764, 0,28124, 2,49006, 0,01032, -2,43478, 0,098, 4,285, 0,107, -7,1195, 0,136, -6,80675
-0,13927, -11,10559, 0,2629, -0,06025, -0,05, 0,3842, 0,2243, 1,82826, 0,19, -6,1932, 0,39587, 2,0677, 0,06229, -2,80435, 0,196, 3,874, 0,214, -9,9868, 0,272, -6,521
3,97402E-4, -11,63975, 0,36225, -0,06025, 0,05, 0,3192, 0,33894, 2,15124, 0,328, -7,3694, 0,5277, 1,53354, 0,11578, -2,04348, 0,294, 3,8694, 0,32, -10,7318, 0,408, -6,8406
0,12707, -11,31677, 0,47688, -0,61925, 0,15, 0,0074, 0,46886, 2,37329, 0,466, -8,0906, 0,65953, 1,11118, 0,16775, -1,1087, 0,392, 4,276, 0,427, -9,509, 0,544, -6,9702
0,25212, -12,28571, 0,57432, -0,06025, 0,251, -0,5314, 0,61559, 2,37329, 0,604, -8,4148, 0,75697, 0,7882, 0,23347, -1,1087, 0,49, 6,955, 0,534, -9,6386, 0,68, -7,8958
0,33494, -11,75155, 0,70615, -0,61925, 0,351, -0,5018, 0,7287, 1,6163, 0,742, -8,625, 0,85632, 0,46522, 0,2992, -0,93478, 0,588, 6,5664, 0,641, -8,412, 0,817, -7,059
0,442, -12,751, 0,78831, 0,1882, 0,451, -0,5178, 0,85862, 1,19239, 0,92574, -7,9441, 0,98815, 0,46522, 0,36492, -0,17391, 0,686, 8,1656, 0,748, -5,6476, 0,953, -6,7904
0,51683, -13,6646, 0,88766, 0,4677, 0,551, -0,2614, 1,00535, 0,97034, 1,0954, -7,14286, 1,11998, 1,42174, 0,4444, 0,36957, 0,784, 6,9806, 0,854, -5,955, 1,089, -7,3182
0,676, -13,0588, 1,03477, 0,1882, 0,651, 0,9048, 1,15208, 2,47422, 1,21691, -5,76398, 1,2499, 2,0677, 0,48414, 0,56522, 0,882, 6,591, 0,961, -6,9962, 1,225, -6,9926
